char	bak	crh	kaz	kir	tat	tur
-	True	True	True	True	True	True
2	False	False	False	False	False	True
c	False	True	False	False	False	True
j	False	True	False	False	False	True
q	False	True	False	False	False	False
w	False	False	False	False	False	True
y	False	True	False	False	False	True
â	False	True	False	False	False	True
î	False	False	False	False	False	True
ñ	False	True	False	False	False	False
ö	False	True	False	False	False	True
ü	False	True	False	False	False	True
ğ	False	True	False	False	False	True
ı	False	True	False	False	False	True
̇	False	True	False	False	False	True
і	False	True	True	False	False	True
ғ	True	False	True	False	False	False
җ	False	False	False	False	True	False
ҙ	True	False	False	False	False	False
қ	False	False	True	False	False	False
ҡ	True	False	False	False	False	False
ң	True	False	True	True	True	False
ҫ	True	False	False	False	False	False
ү	True	False	True	True	True	False
ұ	False	False	True	False	False	False
һ	True	False	True	False	True	False
ә	True	False	True	False	True	False
ө	True	False	True	True	True	False
