eglenceler	eglence
sürgünlikniñ	sürgünlik
monarhiyada	monarhiya
köstergenleri	köster
öksüz	öksüz
bağlay	bağla
bağlay	bağla
yapılır	yap
yapılır	yap
yapılır	yapıl
yapılır	yapıl
yapılır	yap
yapılır	yapıl
qarşılaşmaq	qarşılaş
çabik	çabik
merkezniñ	merkez
aslında	aslında
sanında	san
tutmaq	tut
iştirakçileri	iştirakçi
soyadı	soyadı
felsefesi	felsefe
hatırlav	hatırla
hatırlav	hatırlav
taşları	taş
yipek	yipek
yoq	yoq
yerleştirgen	yerleştir
yerleştirgen	yerleştir
yerleştirgen	yerleştir
yerleştirgen	yerleştir
vekilleriniñ	vekil
musafirlerni	musafir
basmahanede	basmahane
ükümetiniñ	ükümet
derecesi	derece
devrinde	devir
meseleni	mesele
meseleni	meselen
lagerge	lager
şeerden	şeer
yunanca	yunan
yunanca	yunanca
yunanca	yunanca
ye	ye
dağcı	dağcı
diasporasında	diaspora
institutınıñ	institut
maynıñ	may
yazğanına	yaz
respublika	respublika
hitler	hit
boruçıq	boruçıq
uquqçı	uquqçı
domenge	domen
kiraz	kiraz
temsilcisi	temsilci
davalaşmasında	davalaş
cenkler	cenk
buyruğına	buyruq
balalayka	balalayka
felsefesini	felsefe
toqtav	toqta
toqtav	toqtav
uzaqlaştırılğan	uzaqlaştır
uzaqlaştırılğan	uzaqlaştır
uzaqlaştırılğan	uzaqlaştır
uzaqlaştırılğan	uzaqlaştır
balıqlar	balıq
ölümge	ölüm
beynen	bey
soyundan	soy
yardımcısına	yardımcı
qapalı	qapalı
taştan	taş
resimler	resimler
resimler	resim
istilâ	istilâ
ükümeti	ükümet
yazğan	yaz
yazğan	yaz
yazğan	yaz
yazğan	yaz
etilüvinen	et
etilüvinen	etil
radasınıñ	rada
mütehassısı	mütehassıs
ziyalılar	ziyalı
halifeni	halife
lâtifeler	lâtife
faaliyetini	faaliyet
bölünüv	böl
bölünüv	bölünüv
suvğa	suv
işaret	işaret
sülâlesine	sülâle
direktorı	direktor
mobilizatsiya	mobilizatsiya
tayfası	tayfa
askerlerinen	asker
radiosına	radio
köterilüvi	köter
medeniyeti	medeniyet
maraz	maraz
şairimiz	şair
ömürqardaşı	ömürqardaşı
ömürqardaşı	ömürqardaşı
beşeriyetiniñ	beşeriyet
territoriyalarına	territoriya
ibadethanesiniñ	ibadethane
qapatıldı	qapat
kontsertinde	kontsert
vasiyeti	vasiyet
arnavutlıq	arnavutlıq
taraflarından	taraf
vekilleri	vekil
eski	eski
usulnıñ	usul
yat	yat
yat	yad
birliginden	birlik
filmden	film
paytahtında	paytaht
qurulışlar	qurulış
kanalı	kanal
saqınıp	saqın
saqınıp	saqın
insannıñ	insan
mayorı	mayor
sözüniñ	söz
tacikçe	tacik
tacikçe	tacikçe
tacikçe	tacikçe
icatkârlardan	icatkâr
merkezine	merkez
osmanlılar	osmanlı
bölme	böl
bölme	böl
